ESGN,class
khung bang kachao conservation restore green areas lung bangkok perimeter,1
khung bang kachao conservation restore green areas lung bangkok perimeter.,1
convenient appoint proxy companys independent directors members audit committee attend meeting cast votes behalf companys information available stock exchange thailands set link system,3
appoint appoint proxy companies independent directors members audit committee attend meeting cast votes for companies information available stock exchange thailand set link system system.,3
developed omnichannel service network deliver seamless online offline customer experience,2
developped omnichannel - service - network offers a seamless online - offline - customer experience.,2
rehabilitating ecosystem conserve external water sources,1
re-distribution of the cosmos to external water sources,1
olefins reconfiguration project orp raises olefins capacity 750000 tpa 2988000 tpa 3738000 tpa investment thb 35657 billion commercial operation 2020,0
olefins reconfiguration project orp raises olefins capacity 750000 tpa 2988000 tpa 3738000 tpa investment thb 35657 billion commercial operation 2020,0
interim dividends annual dividends paid 30 days approval board shareholder meeting,3
dividend dividends annual dividends paid 30 days approval board shareholder meeting,3
company prohibits directors management inside information concerning important matters including trading securities publication personal gains,3
"company prohibits directors inside information about important attractions, including trading with securities publication personal gain.",3
regard minimization environmental impact augmentation products safety life cycle,1
Taking into account the minimisation of environmental impact and increasing the lifespan of the products,1
collaborated stakeholders optimize reuse waste,1
co-operated stakeholders optimize the re-use of fallown assets.,1
building capacity entire palm oil business value chain seeding germinating plantation crop oil extraction related business competitive recognizing future,2
building of capacities whole palmol - business value chain same plants pflanzenol - harvest - business competitiveness recognition of the future.,2
subsidiaries nonlisted companies dividend payment depend issues future investment plans financial structure liquidity,3
companies not listed in borsa-listed companies dividend payments depend on future investment plans financial structure liquidity.,3
company conducted water treatment procedure draining outside starts making plan measuring quality waste water following operation water treatment system installing water tr,1
The process of dewatering is carried out by the company and starts the measurement of the quality of waste water after the operation of the water treatment system installation of water tr.,1
based recognition responsibilities community society company laid policy seeking promote conscience responsibilities company employees levels consistent basis promoting activities contributing interests community society,2
co-operation in the field of co-operation in the field of environmental management.,2
regular agenda ballot shall event shareholder like cast negative vote abstain voting,3
"in the event of a negative vote by the members of the Group of Independent Members, the voting abstention shall take place in accordance with the Rules of Procedure.",3
happening big issue digital world,0
News major theme digital world,0
promotion ecotourism historical attractions boost local tourism industry tour seasonal fruit orchards development youth local areas guides local historical places cruising river canal abundant mangrove forest areas,1
forder kotourism historical attractions local tourismus industrie tour seasonal garden development youth local command driving local historical sites cruising river rich mangrove forest areas rich mangrove forest areas.,1
wellknown blood drive helped save lives 33 million people,2
Blood donation has saved the lives of 33 million people.,2
management determines devaluation land held development based net recognized value,0
Management manages the depreciation of land ownership development on the basis of net recognition value.,0
reduce paper usage reduce power product reduce total weight product reduce raw materials steel plastic copper aluminum,1
"Reduction of paper consumption in energy production, reduction of the total weight of the product, reduction of raw materials such as steel plastic, copper aluminium.",1
company inculcated employees social environmental awareness responsibility accordance iso 14001 standard,1
inspired co-workers social environmental awareness measure iso 14001 standard.,1
thai wacoal gives precedence potentiality development enhancement personnel ability order employees possess specific skills body knowledge work mastery keeping era 40,2
rai wacoal gives priority potentiality development enhancement personnel ability order employees possess specific skills body knowledge work mastery keeping era 40 era.,2
bangkok orthopedic center bangkok hospital department orthopedic surgery stanford university signed memorandum understanding exchange knowledge skills field orthopedics cooperation seeks develop knowledge research orthopedic surgery improve efficiency treatment patients ailments lead cooperation studies research medical conferences develop potential,2
Bangkok orthopedic center bangkok hospital department orthopedic surgery stanford university signed memorandum understanding exchange knowledge skills field orthopedics cooperation seeks to develop knowledge research orthopedic surgery improve efficiency treatment patients ailments lead cooperation studies research medical conferences develop potential.,2
conduct thorough environmental impact assessment eia covers project aspect strictly adhere environmental mitigation,1
eia covers the project's aspect.,1
global economy relatively slowed,0
the global economy slows down relatively.,0
reforestation rehabilitation forest areas achieve biodiversity serve carbon absorption areas,1
Reafforestation forest areas reach biodiversity benefit carbon-absorbing areas,1
2018 company implemented dividend payments drawing companys operating profits 2017 rate baht 150 share total dividend payments accounting 4857 total net profits displayed separate financial statements representing companys dividend payments 45 consecutive years,2
2018 company implemented dividend payments drawing company operating profits 2017 rate baht 150 share total dividend payments accounting 4857 total net profits displayed separate financial statements representing company's dividend payments 45 consecutive years.,2
e asset generate cash inflows largely independent assets,0
vogenous values generate capital inflows large portions of unbalanced disproportional disproportional values.,0
able reduce greenhouse gas emissions conforming circular economy principles waste feedstock,1
to reduce greenhouse gas emissions according to the principles of the circular economy.,1
input observable inputs directly indirectly assets liabilities quoted price included level 1 inputs,0
Observable inputs directly indirect assets liabilities quoted price included level 1 inputs,0
dismiss boiler production line able save fuel energy 12666 literyear,1
"kettle production line in stock, fuel energy 12666 liter year.",1
company shall ensure rights group protected according relevant laws handled carefully sensitively,3
It is the responsibility of the society to ensure that the right group protected by the attacks is treated with care and sensitivity.,3
bust line wireless wellshape soft bra innovation bust line sewing shape base gives soft tender touch maintains wellfitted shape like wire bra,0
bust line wireless soft bra innovation bust line sewing shape base gives soft tender touch maintains well-fitted shape like wire bra.,0
company duly respected basic rights accorded shareholders accordance laws regulations business ethics company,2
society's rules of conduct respect fundamental rights of actionare laws and codes of conduct society's laws of conduct.,2
learning going workshops topic team required ideas test find customers real market feedbacks team modified redeveloped ideas better serve customers,0
Learning walking workshops theme team required ideas test find customers real market feedbacks team modified redeveloped ideas better serve customers customers.,0
energy indirect emissions   purchase energy companys operations includes electricity heat steam,1
energy indirect emissions buy energy companies includes electricity warm vapor.,1
company operates business upholding code business ethics business administration philosophy aware corporate responsibility society large,3
company operates society upholding the codex business ethics business administration philosophy conscious corporate responsibility society great.,3
